Title,Author,Year
THE BACKGROUND TO CONTEMPORARY CRITICAL THEORY: From Kant to Levi Strauss,Jon Simons (ed.),2017
FAITH MOVEMENTS AND SOCIAL TRANSFORMATION: Guru Charisma in Contemporary India,Samta P. Pandya,2017
WOMEN IN PATRIARCHY: Cross-Cultural Readings,Jasbir Jain (ed.),2017
RESEARCH METHODS FOR CULTURAL STUDIES ,Michael Pickering (ed),2016
"CULTURE, TRANSFORMATION AND IDENTITY: Travel,0
THEORIES OF MULTICULTURALISM: An Introduction,George Crowder,2015
GENDERING MATERIAL CULTURE: Representations and Practice  ,Subhadra Mitra Channa Kamal K. Misra (Eds),2013
EXPLORATIONS IN CULTURAL ANTHROPOLOGY ,Colleen E. Boyd and Luke Eric Lassiter (eds.),2012
CULTURAL NARRATIVES: Hybridity & Other Spaces,Jasbir Jain (ed.),2012
POSTMODERNISM OR THE CULTURAL LOGIC OF LATE CAPITALISM ,Fredric Jameson,2012
SOCIETY AND CULTURE: S.P. NAGENDRA,C. Lakshmanna and Jugendra Sahai (Eds.),2012
"GLOBALISATION, DEVELOPMENT AND CULTURE",0
WHAT IS CULTURAL STUDIES: A Reader,John Storey (ed.),2012
"CULTURE, NATURE AND LITERATURE",0
"WOMEN, RELIGION AND TRADITION: The Cult of Jogins,0
"CULTURE, STRATIFICATION AND DEVELOPMENT ",0
MUSLIM CULTURE IN INDIAN CINEMA ,Jasbir Jain (Ed.),2011
READING LITERARY CULTURE: Perspectives from Orissa,Sumanyu Satpathy,2009
KEY ISSUES IN CRITICAL & CULTURAL THEORY ,Kate McGowan,2009
RECONSTRUCTING IDENTITIES: Society Through Literature,Paramjit S. Judge and Gurpreet Bal (Eds.),2008
CULTURAL GEOGRAPHY: A Critical Dictionary of Key Concepts ,"David Atkinson,0
"CULTURAL HISTORY OF ANCIENT INDIA: Diversity, Syncretism,0
THE SOCIOLOGY OF CULTURE ,Boris Erasov and Yogendra Singh,2006
CULTURE CHANGE IN INDIA: Identity & Globalization,Yogendra Singh ,2000
"LITERARY INDIA: Comparative Studies in Aesthetics, Colonialism and Culture",0
DIMENSIONS OF SOCIAL CHANGE: Essays in Honour of Professor P.N. Pimpley,Paramjit S. Judgea and Satish K. Sharma (Eds.),1997
WOMEN IN POLICE IN INDIA: A Journey from Periphery to Core,Tumpa Mukherjee,2020
CADET DIARY: Psychology of Warrior Ethos and Cadet Leadership Development,Lt Col Dr Samir Rawat (Ed.),2018
STRESS AND RESILIENCE IN THE MILITARY,Lt Col Dr Samir Rawat (Ed.),2018
MILITARY PSYCHOLOGY: International Perspectives,Lt. Col Dr Samir Rawat (ed.),2017
MILITARY PSYCHOLOGY AND LEADERSHIP DEVELOPMENT,Lt. Col. Dr Samir Rawat (ed.),2017
POLICE TRAINING: Problems and Perspectives,Sankar Sen and A.K. Saxena (Eds.),1994
POLICE TRAINING IN COMMUNITY RELATIONS: Perspectives on the United States and India,R.P. Joshi,1993
STUDIES IN JAIN POPULATION AND DEMOGRAPHY,Prakash C. Jain (Ed.),2019
"POPULATION, FERTILITY,0
"EDUCATION, MIGRATION AND HUMAN DEVELOPMENT: Kerala Experience",0
ELDERLY WIDOWS: Socio-Economic and Demographic Study in Jharkhand,Sangeeta Gupta,2018
RELIGIOUS DEMOGRAPHY OF INDIA: Myths and Realities,Lancy Lobo and Jayesh Shah (eds),2018
"POPULATION, DEVELOPMENT AND ENVIRONMENT",0
POPULATION: An Introduction to Concepts and Issues (12th Edition),John R. Weeks,2018
DEMOGRAPHY: The Science of Population (Second Edition),Jay Weinstein and Vijayan K. Pillai,2017
POPULATION ISSUES: Studies from Uttar Pradesh and Bihar,"Harihar Sahoo,0
"MIGRATION, IDENTITY AND CONFLICT: Lived Experience of Northeasterners in Delhi",0
"POPULATION, HEALTH AND ENVIRONMENT",0
MIGRATION: The Boundaries of Equality and Justice ,Bill Jordan and Frank D,2015
INDIAS DEMOGRAPHY: Changing Demographic Scenario in India  ,P.K. Majumdar ,2013
"MIGRATION, HEALTH AND DEVELOPMENT ",0
POPULATION AND DEVELOPMENT: The Demographic Transition,Tim Dyson,2011
FUNDAMENTALS OF DEMOGRAPHY ,P.K. Majumdar,2010
POPULATION AND ENVIRONMENT LINKAGES ,C.P. Prakasam and R.B. Bhagat (Eds.),2007
INVOLUNTARY MIGRATION: Evidence from Sardar Sarovar Project,D.C. Sah,2003
REGIONAL DEVELOPMENT AND PLANNING,Janki Jiwan,2021
